user,employer,category1,category2,user_tone,audience_tone,qualified
SenatorShaheen,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorCardin,"CSPAN, Senator",politics,,unknown,unknown,0
SenateBanking,"CSPAN, Senator",politics,,unknown,unknown,0
maziehirono,"CSPAN, Senator",politics,,unknown,unknown,0
SenMikeLee,"CSPAN, Senator",politics,,unknown,unknown,0
EnergyGOP,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorIsakson,"CSPAN, Senator",politics,,unknown,unknown,0
SenAlexander,"CSPAN, Senator",politics,,unknown,unknown,0
SenStabenow,"CSPAN, Senator",politics,,unknown,unknown,0
SenPatRoberts,"CSPAN, Senator",politics,,unknown,unknown,0
SenBobCorker,"CSPAN, Senator",politics,,unknown,unknown,0
SenateDems,"CSPAN, Senator",politics,,unknown,unknown,0
SenGillibrand,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorTomUdall,"CSPAN, Senator",politics,,unknown,unknown,0
BillCassidy,"CSPAN, Senator",politics,,unknown,unknown,0
SenateDoctors,"CSPAN, Senator",politics,,unknown,unknown,0
brianschatz,"CSPAN, Senator",politics,,unknown,unknown,0
TinaSmithMN,"CSPAN, Senator",politics,,unknown,unknown,0
SenSherrodBrown,"CSPAN, Senator",politics,,unknown,unknown,0
amyklobuchar,"CSPAN, Senator",politics,,unknown,unknown,0
SenSanders,"CSPAN, Senator",politics,,unknown,unknown,0
SenJeffMerkley,"CSPAN, Senator",politics,,unknown,unknown,0
SenMarkey,"CSPAN, Senator",politics,,unknown,unknown,0
RoyBlunt,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorBurr,"CSPAN, Senator",politics,,unknown,unknown,0
SenShelby,"CSPAN, Senator",politics,,unknown,unknown,0
SenBillNelson,"CSPAN, Senator",politics,,unknown,unknown,0
InhofePress,"CSPAN, Senator",politics,,unknown,unknown,0
stabenow,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorCollins,"CSPAN, Senator",politics,,unknown,unknown,0
SenJohnMcCain,"CSPAN, Senator",politics,,unknown,unknown,0
senrobportman,"CSPAN, Senator",politics,,unknown,unknown,0
SenatorMenendez,"CSPAN, Senator",politics,,unknown,unknown,0
JerryMoran,"CSPAN, Senator",politics,,unknown,unknown,0
ChrisVanHollen,"CSPAN, Senator",politics,,unknown,unknown,0
lisamurkowski,"CSPAN, Senator",politics,,unknown,unknown,0
SenSchumer,"CSPAN, Senator",politics,,unknown,unknown,0
clairecmc,"CSPAN, Senator",politics,,unknown,unknown,0
JeffFlake,"CSPAN, Senator",politics,,unknown,unknown,0
CoryBooker,"CSPAN, Senator",politics,,unknown,unknown,0
marcorubio,"CSPAN, Senator",politics,,unknown,unknown,0
ChrisCoons,"CSPAN, Senator",politics,,unknown,unknown,0
GrahamBlog,"CSPAN, Senator",politics,,unknown,unknown,0
dscc,"CSPAN, Senator",politics,,unknown,unknown,0
SenateGOP,"CSPAN, Senator",politics,,unknown,unknown,0
JohnCornyn,"CSPAN, Senator",politics,,unknown,unknown,0
SteveDaines,"CSPAN, Senator",politics,,unknown,unknown,0
ChuckGrassley,"CSPAN, Senator",politics,,unknown,unknown,0
MarkWarner,"CSPAN, Senator",politics,,unknown,unknown,0
JimInhofe,"CSPAN, Senator",politics,,unknown,unknown,0
JohnBoozman,"CSPAN, Senator",politics,,unknown,unknown,0
