user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-11T21:04:50Z,x1061726467623538688,694,73,"Now I don't feel quite so bad about what Tennessee did on MNF to the Cowboys. But I still fear their confidence got crushed. I do not like their chances tonight at Eagles. I've lost faith in Garrett, Linehan, the O line, the D, Zeke's fitness and Dak in turning-point moments.",102,0.132985658,7.519607843,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:25:59Z,x1061807288237752320,269,26,I like the QB draw call. Just great play by Cox.,38,0.128813559,7.763157895,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:13:38Z,x1061804177800650752,292,39,The Cowboys continue to be so poorly coached. Another late play call. Run Dak on the read option!!!,42,0.126888218,7.880952381,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:58:57Z,x1061830682689724416,215,28,"I will not accept any ""moral victory."" In fact, that could be even worse big picture than getting blown out.",29,0.119341564,8.379310345,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:07:50Z,x1061817818864279552,293,36,"Obviously I was hoping the Cowboys could come out hot on offense and take it home. Instead, THAT happened. You're going to roll to Michael Bennett without blocking him???",38,0.11550152,8.657894737,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:04:38Z,x1061817014040182784,1152,181,LeBron must be furious the NBA is making him play the Hawks instead of letting him watch his Cowboys. He needs to speak to the commish about this.,148,0.111027757,9.006756757,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:58:01Z,x1061830448676917248,254,36,That was just crushing. No pass rush. No run defense. Heath gets smoked. THAT WAS WHERE THE DEFENSE COULD'VE TAKEN A STAND AND TAKEN THE GAME OVER.,31,0.106896552,9.35483871,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T03:29:41Z,x1061823318515314688,370,59,"That's it. Kicker has gone south. Huge advantage, Philly. Eagles will be re-inspired. Psychological killer for Cowboys.",43,0.1002331,9.976744186,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:33:10Z,x1061809093537554432,322,42,"Now it feels like the Eagles are saying, OK, enough of this.",36,0.098901099,10.11111111,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T18:22:14Z,x1061685546852864000,305,50,"Without Gronk, Tom Brady's primary target has become Josh Gordon. Shannon Sharpe says Gordon now looks like he's running ""with a piano on his back."" On NE's opening drive, Gordon caught one big one, on 3rd and 10 ... and has already dropped two.",35,0.098591549,10.14285714,2018-11-12T16:44:00Z
